,imdb_title_id,weighted_average_vote,total_votes
223,tt0011742,6.1,625
224,tt0011753,5.5,168
225,tt0011779,6.5,191
226,tt0011833,6.9,425
227,tt0011837,6.1,356
228,tt0011841,7.4,4961
229,tt0011865,6.7,1321
230,tt0011870,6.3,2465
231,tt0011904,6.8,1037
232,tt0011908,6.0,101
233,tt0011909,6.6,1208
234,tt0011948,6.9,364
235,tt0011960,7.0,1025
236,tt0011979,6.8,497
237,tt0012016,6.4,170
238,tt0012027,6.6,875
239,tt0012068,6.8,415
240,tt0012122,5.5,133
241,tt0012125,6.4,116
242,tt0012134,7.0,362
243,tt0012136,6.4,268
244,tt0012187,6.5,123
245,tt0012190,7.2,3058
246,tt0012249,7.0,382
247,tt0012281,6.8,209
248,tt0012313,6.7,286
249,tt0012314,6.6,239
250,tt0012334,6.8,215
251,tt0012349,8.3,109038
252,tt0012364,8.1,10054
253,tt0012382,6.1,268
254,tt0012397,6.7,276
255,tt0012408,6.5,338
256,tt0012465,7.0,311
257,tt0012486,6.2,237
258,tt0012494,7.7,5136
259,tt0012513,6.5,209
260,tt0012532,7.4,4678
261,tt0012538,6.5,469
262,tt0012631,6.7,130
263,tt0012642,6.9,941
264,tt0012645,6.8,123
265,tt0012650,6.4,217
266,tt0012651,6.2,1391
267,tt0012675,6.4,3055
268,tt0012699,5.8,109
269,tt0012745,6.9,135
270,tt0012752,6.9,846
271,tt0012755,6.8,163
272,tt0012763,6.8,1722
273,tt0012769,5.9,133
274,tt0012806,6.2,323
275,tt0012928,6.1,766
276,tt0012938,6.7,2216
277,tt0012952,6.4,1234
278,tt0012973,6.9,566
279,tt0012975,6.2,255
280,tt0013033,7.1,340
281,tt0013059,6.3,343
282,tt0013075,7.1,1194
283,tt0013085,6.1,336
284,tt0013122,6.5,118
285,tt0013134,6.2,151
286,tt0013140,7.0,3072
287,tt0013169,6.5,360
288,tt0013201,7.0,1618
289,tt0013223,4.9,225
290,tt0013332,6.7,268
291,tt0013367,5.4,226
292,tt0013372,6.2,415
293,tt0013386,6.6,293
294,tt0013402,6.7,333
295,tt0013404,6.4,310
296,tt0013428,6.9,115
297,tt0013442,7.9,86620
298,tt0013450,6.7,706
299,tt0013469,6.4,233
300,tt0013496,6.9,1528
301,tt0013515,6.7,452
302,tt0013556,7.2,1971
303,tt0013571,6.6,807
304,tt0013574,6.6,101
305,tt0013579,6.8,842
306,tt0013590,5.9,101
307,tt0013592,6.3,365
308,tt0013597,5.8,551
309,tt0013607,5.8,158
310,tt0013619,6.0,169
311,tt0013662,6.9,418
312,tt0013674,7.0,500
313,tt0013688,6.6,642
314,tt0013704,6.0,118
315,tt0013705,5.8,136
316,tt0013741,6.6,443
317,tt0013750,6.3,968
318,tt0013802,6.3,366
319,tt0013830,6.8,119
320,tt0013909,5.2,319
321,tt0013933,7.5,1103
322,tt0013951,6.6,505
323,tt0014029,6.6,1068
324,tt0014108,6.9,144
325,tt0014109,7.1,1085
326,tt0014112,5.5,114
327,tt0014142,7.2,4711
328,tt0014205,6.2,893
329,tt0014341,7.8,9902
330,tt0014358,7.4,4261
331,tt0014397,6.8,253
332,tt0014416,6.5,269
333,tt0014417,7.5,1889
334,tt0014429,8.1,17795
335,tt0014440,7.0,533
336,tt0014446,6.7,248
337,tt0014463,6.5,375
338,tt0014497,7.0,826
339,tt0014516,7.0,347
340,tt0014524,6.2,134
341,tt0014532,6.8,1915
342,tt0014538,7.1,3949
343,tt0014586,6.6,1702
344,tt0014604,6.4,157
345,tt0014605,6.8,390
346,tt0014606,6.2,117
347,tt0014611,7.4,1532
348,tt0014624,7.0,4735
349,tt0014636,6.2,786
350,tt0014646,6.6,2303
351,tt0014672,6.4,344
352,tt0014702,6.7,407
353,tt0014721,5.9,131
354,tt0014760,6.9,208
355,tt0014770,6.5,212
356,tt0014826,5.7,105
357,tt0014854,6.9,125
358,tt0014869,6.5,611
359,tt0014874,6.3,119
360,tt0014898,6.8,530
361,tt0014900,6.4,741
362,tt0014925,6.1,125
363,tt0014945,7.7,3024
364,tt0014972,7.8,3044
365,tt0014982,6.8,253
366,tt0015002,7.2,1210
367,tt0015014,7.2,712
368,tt0015016,7.2,1898
369,tt0015018,6.9,292
370,tt0015022,5.7,665
371,tt0015036,6.7,145
372,tt0015064,8.1,12157
373,tt0015116,6.5,973
374,tt0015119,7.2,1061
375,tt0015136,7.1,1540
376,tt0015145,5.7,447
377,tt0015163,7.7,8853
378,tt0015167,6.6,865
379,tt0015174,7.9,3860
380,tt0015175,8.1,5082
381,tt0015200,4.7,104
382,tt0015202,7.1,2263
383,tt0015213,6.8,137
384,tt0015214,7.2,1541
385,tt0015224,7.1,881
386,tt0015268,7.1,415
387,tt0015289,6.3,164
388,tt0015310,7.0,466
389,tt0015312,5.5,220
390,tt0015324,8.2,39634
391,tt0015361,7.6,6877
392,tt0015400,7.7,5460
393,tt0015493,6.3,200
394,tt0015498,6.8,430
395,tt0015500,5.9,310
396,tt0015518,5.8,121
397,tt0015532,7.8,5253
398,tt0015624,7.9,6096
399,tt0015634,6.2,767
400,tt0015643,7.0,177
401,tt0015648,8.0,51775
402,tt0015684,6.3,491
