Type,,Air,Air,Water,Water
Info,,AirQuality,AirPollution,WaterQuality,WaterPollution
 Australia,Karratha,100.0,0.0,100.0,0.0
 Australia,Katoomba,100.0,0.0,100.0,0.0
 Australia,Launceston,68.75,31.25,50.0,50.0
 Australia,Mackay,90.0,10.0,25.0,75.0
 Australia,Mandurah,37.5,62.5,37.5,62.5
 Australia,Melbourne,79.07303370786516,20.926966292134836,71.77650429799428,28.223495702005728
 Australia,Merimbula,100.0,0.0,100.0,0.0
 Australia,Millmerran,100.0,0.0,100.0,0.0
 Australia,Mount Gambier,83.33333333333333,16.66666666666667,100.0,0.0
 Australia,Mount Isa,92.85714285714286,7.142857142857139,25.0,75.0
 Australia,Muswellbrook,87.5,12.5,50.0,50.0
 Australia,Newcastle,78.0,22.0,60.714285714285715,39.285714285714285
 Australia,Orange,100.0,0.0,100.0,0.0
 Australia,Penrith,25.0,75.0,75.0,25.0
 Australia,Perth,82.9875518672199,17.012448132780094,71.92796610169492,28.072033898305083
 Australia,Port Lincoln,0.0,100.0,75.0,25.0
 Australia,Port Macquarie,75.0,25.0,53.84615384615385,46.15384615384615
 Australia,Rockhampton,88.63636363636364,11.36363636363636,81.25,18.75
 Australia,Shepparton,75.0,25.0,50.0,50.0
 Australia,Singleton,87.5,12.5,50.0,50.0
 Australia,Sydney,75.88996763754045,24.11003236245955,71.45214521452145,28.54785478547855
 Australia,Tamworth,100.0,0.0,75.0,25.0
 Australia,Toowoomba,86.66666666666667,13.333333333333329,90.0,9.999999999999998
 Australia,Townsville,89.28571428571428,10.714285714285722,59.375,40.625
 Australia,Traralgon,75.0,25.0,50.0,50.0
 Australia,Wagga Wagga,75.0,25.0,80.0,20.0
 Australia,Wangaratta,100.0,0.0,75.0,25.0
 Australia,Warrnambool,100.0,0.0,75.0,25.0
 Australia,Whyalla,71.42857142857143,28.57142857142857,83.33333333333333,16.666666666666668
 Australia,Wodonga,100.0,0.0,100.0,0.0
 Australia,Wollongong,76.13636363636364,23.86363636363636,69.73684210526316,30.26315789473684
 Austria,Amstetten,62.5,37.5,50.0,50.0
 Austria,Bad Ischl,85.0,15.0,50.0,50.0
 Austria,Baden bei Wien,87.5,12.5,50.0,50.0
 Austria,Bregenz,95.0,5.0,50.0,50.0
 Austria,Bruck an der Mur,75.0,25.0,50.0,50.0
 Austria,Dornbirn,100.0,0.0,100.0,0.0
 Austria,Eisenstadt,87.5,12.5,50.0,50.0
 Austria,Feldkirch,83.33333333333333,16.66666666666667,100.0,0.0
 Austria,Gmunden,100.0,0.0,50.0,50.0
 Austria,Graz,53.333333333333336,46.666666666666664,78.84615384615384,21.15384615384616
 Austria,Hallein,100.0,0.0,50.0,50.0
 Austria,Hollabrunn,87.5,12.5,50.0,50.0
 Austria,Innsbruck,75.0,25.0,92.1875,7.8125
 Austria,Kapfenberg,75.0,25.0,100.0,0.0
 Austria,Klagenfurt,71.42857142857143,28.57142857142857,83.33333333333333,16.666666666666668
 Austria,Klosterneuburg,62.5,37.5,50.0,50.0
 Austria,Knittelfeld,75.0,25.0,50.0,50.0
 Austria,Kufstein,87.5,12.5,50.0,50.0
 Austria,Landeck,87.5,12.5,50.0,50.0
